iter	Passed	Remaining
408	5372	7763
409	5399	7769
410	5415	7761
411	5438	7761
412	5454	7752
413	5472	7746
414	5488	7736
415	5502	7724
416	5514	7710
417	5528	7697
418	5541	7684
419	5555	7671
420	5568	7658
421	5582	7645
422	5594	7631
423	5608	7619
424	5622	7606
425	5634	7592
426	5648	7580
427	5662	7567
428	5675	7553
429	5689	7541
430	5703	7529
431	5716	7516
432	5731	7504
433	5744	7491
434	5758	7478
435	5770	7464
436	5784	7452
437	5798	7439
438	5811	7426
439	5824	7412
440	5837	7399
441	5851	7386
442	5864	7373
443	5877	7359
444	5890	7346
445	5904	7333
446	5918	7321
447	5931	7308
448	5959	7313
449	5982	7312
450	5995	7298
451	6009	7286
452	6023	7272
453	6035	7258
454	6048	7244
455	6062	7232
456	6076	7219
457	6090	7207
458	6103	7193
459	6117	7181
460	6130	7167
461	6143	7154
462	6157	7141
463	6171	7128
464	6183	7114
465	6197	7102
466	6212	7090
467	6226	7077
468	6239	7064
469	6253	7051
470	6266	7038
471	6279	7025
472	6293	7011
473	6306	6997
474	6319	6984
475	6333	6971
476	6346	6958
477	6360	6946
478	6373	6932
479	6400	6933
480	6416	6923
481	6434	6915
482	6451	6905
483	6468	6896
484	6488	6890
485	6503	6877
486	6517	6865
487	6531	6852
488	6545	6839
489	6558	6826
490	6573	6814
491	6585	6799
492	6599	6787
493	6613	6774
494	6626	6760
495	6639	6746
496	6651	6732
497	6665	6718
498	6679	6705
499	6692	6692
500	6705	6678
501	6718	6664
502	6731	6651
503	6744	6637
504	6759	6625
505	6772	6612
506	6786	6598
507	6798	6584
508	6812	6571
509	6826	6559
510	6840	6546
511	6854	6533
512	6868	6520
513	6882	6507
514	6895	6493
515	6908	6480
516	6921	6466
517	6934	6452
518	6948	6439
519	6971	6435
520	6997	6433
521	7015	6423
522	7028	6410
523	7042	6397
524	7054	6382
525	7067	6368
526	7078	6353
527	7093	6340
528	7106	6327
529	7121	6315
530	7134	6301
531	7147	6288
532	7162	6275
533	7176	6262
534	7190	6249
535	7204	6236
536	7219	6224
537	7232	6210
538	7246	6197
539	7260	6185
540	7274	6172
541	7288	6158
542	7301	6145
543	7314	6131
544	7328	6118
545	7343	6106
546	7358	6093
547	7372	6081
548	7386	6068
549	7400	6054
550	7414	6042
551	7432	6032
552	7451	6023
553	7473	6016
554	7494	6009
555	7509	5996
556	7528	5987
557	7542	5974
558	7557	5961
559	7570	5948
560	7583	5934
561	7597	5921
562	7611	5907
563	7625	5894
564	7639	5881
565	7652	5867
566	7663	5852
567	7675	5837
568	7689	5824
569	7703	5811
570	7717	5797
571	7730	5784
572	7743	5770
573	7756	5756
574	7769	5742
575	7783	5729
576	7796	5715
577	7810	5702
578	7823	5688
579	7836	5675
580	7849	5661
581	7863	5647
582	7877	5634
583	7890	5620
584	7903	5606
585	7915	5592
586	7928	5578
587	7942	5565
588	7955	5551
589	7969	5538
590	8008	5542
591	8026	5531
592	8046	5522
593	8060	5509
594	8073	5495
595	8087	5482
596	8101	5468
597	8114	5454
598	8126	5440
599	8140	5426
600	8152	5412
601	8164	5397
602	8177	5383
603	8191	5370
604	8205	5357
605	8219	5344
606	8233	5331
607	8247	5317
608	8261	5303
609	8273	5289
610	8286	5275
611	8300	5262
612	8315	5249
613	8326	5234
614	8340	5221
615	8354	5207
616	8367	5194
617	8382	5181
618	8395	5167
619	8408	5153
620	8422	5140
621	8437	5127
622	8454	5116
623	8470	5104
624	8486	5092
625	8503	5080
626	8517	5067
627	8537	5056
628	8552	5044
629	8566	5031
630	8580	5017
631	8594	5004
632	8608	4990
633	8622	4977
634	8635	4963
635	8647	4949
636	8661	4935
637	8674	4921
638	8687	4908
639	8701	4894
640	8715	4881
641	8728	4867
642	8742	4853
643	8756	4840
644	8769	4826
645	8783	4813
646	8796	4799
647	8809	4785
648	8824	4772
649	8837	4758
650	8851	4745
651	8863	4730
652	8878	4717
653	8891	4703
654	8904	4690
655	8919	4677
656	8933	4663
657	8947	4650
658	8961	4637
659	8975	4623
660	8988	4610
661	9009	4599
662	9047	4598
663	9065	4587
664	9079	4574
665	9093	4560
666	9104	4545
667	9119	4532
668	9133	4519
669	9147	4505
670	9161	4491
671	9175	4478
672	9190	4465
673	9205	4452
674	9218	4438
675	9233	4425
676	9246	4411
677	9260	4397
678	9274	4384
679	9288	4371
680	9302	4357
681	9316	4343
682	9330	4330
683	9343	4316
684	9357	4303
685	9370	4289
686	9383	4275
687	9397	4261
688	9411	4248
689	9425	4234
690	9437	4220
691	9450	4206
692	9464	4192
693	9480	4180
694	9500	4169
695	9517	4157
696	9533	4144
697	9552	4132
698	9568	4120
699	9584	4107
700	9602	4095
701	9616	4082
702	9630	4068
703	9644	4055
704	9658	4041
705	9670	4027
706	9684	4013
707	9698	4000
708	9712	3986
709	9725	3972
710	9740	3959
711	9753	3945
712	9765	3930
713	9778	3916
714	9793	3903
715	9806	3889
716	9820	3876
717	9834	3862
718	9848	3848
719	9860	3834
720	9873	3820
721	9888	3807
722	9900	3793
723	9914	3779
724	9927	3765
725	9940	3751
726	9955	3738
727	9969	3724
728	9982	3710
729	9996	3697
730	10009	3683
731	10023	3669
732	10072	3669
733	10090	3656
734	10104	3643
735	10119	3629
736	10132	3615
737	10146	3602
738	10160	3588
739	10173	3574
740	10187	3560
741	10201	3547
742	10215	3533
743	10229	3519
744	10242	3505
745	10256	3492
746	10270	3478
747	10284	3464
748	10298	3451
749	10313	3437
750	10326	3423
751	10340	3410
752	10352	3395
753	10365	3381
754	10379	3368
