iter	AUC	Logloss
260	0.8957757787	0.3543893964
261	0.8960806493	0.3539242967
262	0.8963377294	0.3536613794
263	0.8966198583	0.3533642197
264	0.8967925634	0.3531542898
265	0.8970170141	0.352746021
266	0.8971986181	0.352555102
267	0.8975089269	0.3520631366
268	0.8977126135	0.3518245871
269	0.8980567053	0.3513826202
270	0.8983483923	0.3510603042
271	0.8986687536	0.3506358002
272	0.8987132483	0.3505953401
273	0.8989110022	0.3502767319
274	0.8991502844	0.3500034144
275	0.8992610266	0.349872911
276	0.8993434241	0.3497597457
277	0.8996786169	0.3493668625
278	0.8996835608	0.3493130138
279	0.8999854651	0.3488704653
280	0.9001987097	0.3486070125
281	0.900234635	0.3485584743
282	0.900390531	0.3483528386
283	0.9005039099	0.3481963618
284	0.9006607947	0.3480033155
285	0.9009679724	0.3476362926
286	0.9010576209	0.3475406048
287	0.9011690222	0.3474277198
288	0.9012718543	0.3473425725
289	0.9015375037	0.3469954942
290	0.9017210852	0.3467578381
291	0.9018898353	0.3465634415
292	0.901955094	0.3465121874
293	0.9021100013	0.3463158491
294	0.902397074	0.3459519002
295	0.9025724158	0.3457019686
296	0.9026554725	0.3456236107
297	0.9028802528	0.3453064056
298	0.9030269202	0.3450770428
299	0.9032065467	0.3447947057
300	0.9033182777	0.3446660998
301	0.9035334998	0.3444070853
302	0.9037365272	0.3441640457
303	0.9038815467	0.3439474274
304	0.9038775916	0.3439403828
305	0.9040394203	0.3437653953
306	0.9041636756	0.3435909617
307	0.9042961708	0.343423984
308	0.9043225379	0.3433882239
309	0.9044336097	0.3432781197
310	0.9045591835	0.3431510027
311	0.9047233192	0.3429603852
312	0.9050997108	0.3425161916
313	0.9051692543	0.3424422223
314	0.9052315468	0.3423592403
315	0.9054823646	0.341980832
316	0.9055219154	0.3419311548
317	0.9056626503	0.3417149277
318	0.9058238197	0.3414659927
319	0.9061211098	0.3410849386
320	0.9064210365	0.3407762524
321	0.9067516152	0.3403678129
322	0.9068518105	0.3401921979
323	0.9072249062	0.3397178865
324	0.9075600991	0.3392673657
325	0.9076448037	0.3390907786
326	0.9078362954	0.3388116324
327	0.9079513222	0.3386633632
328	0.9081355629	0.3384319843
329	0.9082285073	0.3383246318
330	0.9083570473	0.3381503667
331	0.9084315346	0.3380462463
332	0.9086348916	0.3377489074
333	0.9087014687	0.3376408528
334	0.908797709	0.3375178536
335	0.9089605263	0.3373429685
336	0.9090323769	0.3372715852
337	0.9093899819	0.3368533719
338	0.9093982217	0.3368227579
339	0.9095653237	0.3366290934
340	0.9097228677	0.3364367853
341	0.9099344644	0.3362129417
342	0.9102020913	0.3359273049
343	0.9104021524	0.3356932346
344	0.910453898	0.3356379903
345	0.9107307534	0.3352833552
346	0.9109838784	0.3348964377
347	0.9112627115	0.3345447339
348	0.9113213785	0.3344755424
349	0.9115596719	0.3341693615
350	0.9118431192	0.3338606744
351	0.9122168741	0.3333867175
352	0.9125059244	0.3330046881
353	0.9125135049	0.3329673587
354	0.9126483072	0.3327262424
355	0.9128042032	0.3325187274
356	0.9129274698	0.3323969475
357	0.9130853433	0.332188786
358	0.9133137491	0.3318525443
359	0.9134314127	0.3317012745
360	0.9136182901	0.3314836904
361	0.9137263956	0.3313237106
362	0.9138987711	0.3311271556
363	0.9139966593	0.3309746638
364	0.9140289591	0.3309217032
365	0.9141195963	0.3308360508
366	0.914129484	0.330799124
367	0.9144274332	0.3304350892
368	0.9146152994	0.3301775259
369	0.9147553751	0.3300343458
370	0.9148268961	0.3299453212
371	0.9151545084	0.3295315639
372	0.9152982096	0.3293511747
373	0.9155444132	0.3290684383
374	0.9155800089	0.3290457726
375	0.915792924	0.328736119
376	0.9159264079	0.3285374718
377	0.9160849406	0.3283249922
378	0.9162441325	0.3281062976
379	0.9162438029	0.3281006184
380	0.9163911296	0.3278874559
381	0.9165331828	0.3277405677
382	0.9168736491	0.3273222193
383	0.9171076579	0.3270370667
384	0.9172493815	0.3267741026
385	0.9173024455	0.3267185042
386	0.9173354045	0.3266823477
387	0.9175433757	0.326356577
388	0.9176874064	0.3261771402
389	0.9178424785	0.3259707755
390	0.9179881572	0.3257837182
391	0.9181391093	0.3255416582
392	0.9184522197	0.3250667429
393	0.9185824077	0.3247911906
394	0.9187116069	0.3246102194
395	0.9187916972	0.3245390807
396	0.9188091655	0.3245120362
397	0.9189090312	0.3243606823
398	0.9191582012	0.3240406527
399	0.9192699321	0.3238864354
400	0.9193144267	0.3238178929
401	0.9194762554	0.3236397599
402	0.9196690654	0.323377689
403	0.9198523174	0.3231866648
404	0.9198829692	0.3231391755
405	0.920214207	0.3226699305
406	0.920476231	0.3223791892
407	0.9206080669	0.3222306698
408	0.9207913189	0.322018624
409	0.9208114238	0.3220026159
410	0.921086961	0.3216406387
411	0.9211298076	0.3216016207
412	0.9212056133	0.3215027177
413	0.9213921612	0.3212222358
414	0.9216858257	0.3208527275
415	0.9217174664	0.3207333473
416	0.9218512798	0.3205925609
417	0.9219023663	0.3205153543
418	0.9219527935	0.3204281189
419	0.9220826519	0.320263011
420	0.9222177837	0.3200798596
421	0.9223295147	0.3199389199
422	0.9225045269	0.3197182405
423	0.9226307598	0.3195321293
424	0.9228538922	0.3192164511
425	0.9230130841	0.3190339357
426	0.9231933697	0.3188302387
427	0.9232447857	0.3187502056
428	0.9233397076	0.3185959729
429	0.923682481	0.3181536013
430	0.9238805645	0.3179475281
431	0.9240957867	0.3177042513
432	0.9244204327	0.3172167071
433	0.9246791608	0.3169041434
434	0.9248258282	0.3167247035
435	0.9249181134	0.3165826343
436	0.9251412457	0.3162736511
437	0.9253099957	0.3159851629
438	0.9253383405	0.3159668384
439	0.9255130231	0.3157830117
440	0.9256148663	0.3156658518
441	0.925919737	0.3152650171
442	0.9261754987	0.3148738682
443	0.9262776715	0.3147415593
444	0.9264523542	0.3145120672
445	0.9266705426	0.3141605366
446	0.9268083112	0.3139934894
447	0.9269810163	0.3136760738
448	0.9270726423	0.3135579521
449	0.9270835187	0.3135187009
450	0.9271309797	0.3134502467
451	0.9272357892	0.3133296049
452	0.9272918195	0.3132429031
453	0.9276293195	0.3127816853
454	0.9277281965	0.3126170134
455	0.9277921369	0.3124797066
456	0.9279819807	0.3122342621
457	0.9281438093	0.3119797515
458	0.928230821	0.3117485803
459	0.9282983869	0.3116524489
460	0.9286309431	0.3112109487
461	0.9287947492	0.3109698407
462	0.9288168318	0.3109353191
463	0.9289318586	0.3106825897
464	0.9290369978	0.3105442278
465	0.9291978376	0.3103629512
466	0.9293827375	0.3101308952
467	0.9295610456	0.3099021358
468	0.9297571516	0.3096029522
469	0.9298290022	0.3095008294
470	0.9298632795	0.3094389489
471	0.9299496321	0.3093177007
472	0.9301305769	0.3090556905
473	0.9301407942	0.3090159298
474	0.9303711775	0.3085744304
475	0.9304285261	0.3085114438
476	0.9305216353	0.3083798018
477	0.9306155684	0.3082405214
478	0.9308426558	0.3079400089
479	0.9311729048	0.307466515
480	0.9312783736	0.3072461542
481	0.9315288619	0.3068733017
482	0.9315318282	0.3068482559
483	0.9317101363	0.3066185614
484	0.9317473799	0.3065611771
485	0.9318884444	0.3063502112
486	0.932134648	0.3059626217
487	0.9321946334	0.305870454
488	0.9324065596	0.3055960065
489	0.9325100508	0.3054243632
490	0.932587834	0.3052998639
491	0.9328346968	0.3049427911
492	0.932939836	0.3046930278
493	0.933044316	0.3045337875
494	0.9330657393	0.3045021837
495	0.9330947432	0.3044538999
496	0.9332928267	0.3042246467
497	0.9333195235	0.304176856
498	0.9333732467	0.3041232163
499	0.9335370528	0.3039457674
500	0.9336115401	0.3038135809
501	0.9336794356	0.3036903902
502	0.9337822677	0.3035182821
503	0.9338798263	0.3033542037
504	0.9338930099	0.3033414257
505	0.9339932052	0.3032077196
506	0.9340179244	0.3031782434
507	0.9342548995	0.302853271
508	0.9343597091	0.3027004474
509	0.9344322189	0.302591214
510	0.9344704513	0.3025549284
511	0.9345011031	0.3024857805
512	0.9345554855	0.3024211893
513	0.934654692	0.3022919336
514	0.9348158614	0.3019604163
515	0.9349875778	0.3017058792
516	0.9351091964	0.3014834223
517	0.9352733322	0.3012913473
518	0.9354641647	0.3010273575
519	0.9354977828	0.300962951
520	0.9355333786	0.3008756191
521	0.9355884201	0.3008344
522	0.9356721359	0.3007388723
523	0.9357265182	0.3006254924
524	0.9357703537	0.3005732537
525	0.9359776657	0.3003108813
526	0.9359753585	0.3002912212
527	0.9361994796	0.2999889134
528	0.9362143112	0.2999657917
529	0.9364888595	0.2995747593
530	0.9365373092	0.2995149005
531	0.9367703293	0.2991419295
532	0.9370982712	0.2986653407
533	0.9371084885	0.2986458124
534	0.937213298	0.298515978
535	0.9373144821	0.2984412801
536	0.9375616745	0.298111264
537	0.937803923	0.297734828
538	0.937895549	0.2976445058
539	0.9379347702	0.2975694393
540	0.9380250778	0.2973728248
541	0.9380722092	0.2972616955
542	0.93813582	0.297179955
543	0.9382244797	0.2970772002
544	0.9383497238	0.296940282
545	0.9385273728	0.2966704112
546	0.9385929611	0.2965815982
547	0.9386648117	0.296499969
548	0.9387277634	0.296331883
549	0.9389027756	0.2960649741
550	0.9389245285	0.2960173773
551	0.9391212937	0.2957208001
552	0.9392135788	0.2955881828
553	0.9392649949	0.2954929306
554	0.9393464035	0.2953718003
555	0.939417595	0.2952492478
556	0.9394465989	0.2951880866
557	0.9394640671	0.2951643472
558	0.9394838425	0.2951013109
559	0.9394861496	0.2950697802
560	0.9396127121	0.2948817607
561	0.9397234543	0.2947053175
562	0.9398187058	0.2945839877
563	0.9399132981	0.2944703297
564	0.9399693284	0.294388993
565	0.9401614793	0.2940822677
566	0.9401740037	0.2940598012
567	0.9402399216	0.2939411874
568	0.9402593674	0.2939062206
569	0.9402784836	0.2938383992
570	0.9403315476	0.2937455074
571	0.9406093919	0.2932950756
572	0.9407287034	0.2930999098
573	0.9407923142	0.2929927911
574	0.9408934983	0.2928186984
575	0.9409900681	0.2927176661
576	0.9410863084	0.2925920969
577	0.9411611253	0.2924915459
578	0.9412824143	0.2922373437
579	0.941352617	0.2921234725
580	0.9414686326	0.2918509496
581	0.9416024461	0.2916427542
582	0.9417356004	0.2913713291
583	0.9417679002	0.2913277725
584	0.9418262376	0.2912288026
585	0.941948845	0.291067214
586	0.9421001268	0.2908553219
587	0.9421261644	0.2908164143
588	0.9423881883	0.2904735092
589	0.9424646531	0.2904363703
590	0.9425035447	0.2903923568
591	0.9426142869	0.2901992162
592	0.942827202	0.2898736507
593	0.9428621385	0.2898128485
594	0.9428835618	0.2897672407
595	0.9430233079	0.2895888698
596	0.9431264696	0.2893574097
597	0.9432902757	0.2891288287
598	0.9433726732	0.2890199316
599	0.9434731981	0.2889101516
600	0.943474846	0.2888934
601	0.9435697679	0.2887460888
602	0.9436613939	0.2885347698
603	0.9437869676	0.2883432523
604	0.9438476122	0.2881860827
605	0.9439886766	0.2879626621
606	0.9440127367	0.2879515537
607	0.9440938158	0.2878329979
608	0.944105681	0.2878112338
609	0.9442909105	0.2874757055
610	0.9443883043	0.2873119161
611	0.9445013536	0.2871000176
612	0.9446064928	0.2869500486
613	0.9446223131	0.2869049795
614	0.9446730699	0.2867998746
615	0.9448352281	0.2865648259
616	0.9450122179	0.2863152857
617	0.9450626451	0.2862556298
618	0.9451743761	0.2860686039
619	0.9452834703	0.2858798597
620	0.9454364	0.2855925623
621	0.9454601305	0.2855405409
622	0.9456440416	0.2852026996
623	0.9457715929	0.2850450662
624	0.9458480578	0.2848654764
625	0.9459199083	0.2847454823
626	0.9460032946	0.2845583245
627	0.9460823961	0.2844357561
628	0.9461051378	0.2843481017
629	0.9461344713	0.2842982731
630	0.9461601793	0.2842791334
631	0.9461921496	0.2842201089
632	0.946237633	0.2841522166
633	0.9463292589	0.2840181662
634	0.9463625475	0.2839840266
635	0.9464881213	0.2837504136
636	0.9465718371	0.2835876014
637	0.9466535754	0.2835233524
638	0.9468002428	0.2832195775
639	0.9468312243	0.283154992
640	0.9468974718	0.2829922088
641	0.9469416369	0.2828962477
642	0.9469805285	0.2828658373
643	0.9471173083	0.2826518146
644	0.9472046496	0.2824926254
645	0.9473282458	0.2823493518
646	0.9474347033	0.2821890072
647	0.9474983141	0.2821152046
648	0.9475929064	0.2819402238
649	0.9476294909	0.2818921883
650	0.94775078	0.2817376006
651	0.9477982409	0.2816792207
652	0.9478819567	0.2815763751
653	0.9480164294	0.2813525075
654	0.9481143176	0.281166688
655	0.9481307971	0.2811203245
656	0.948359862	0.280745485
657	0.9484432483	0.2806409771
658	0.9485526721	0.2804390322
659	0.9487731677	0.2801855861
660	0.9488839099	0.2799957605
661	0.9488997302	0.2799416056
662	0.9490510119	0.279689837
663	0.9491637317	0.2794981461
664	0.9492550281	0.279299371
665	0.9492945788	0.279246336
666	0.9494267444	0.2790147156
667	0.949472887	0.2789684602
668	0.9495233142	0.278915202
669	0.9496221912	0.2787621669
670	0.9497223865	0.2786167665
671	0.9498113757	0.2784595425
672	0.9498865222	0.2783324033
673	0.9498865222	0.2782923225
674	0.9501000964	0.2779648544
675	0.9501412952	0.2778294535
676	0.9502355579	0.2776980837
677	0.9503298206	0.2775480337
678	0.950355199	0.2775302082
679	0.9505522937	0.2772809283
680	0.950602721	0.2771929076
681	0.9506824817	0.2771067814
682	0.9507467517	0.2770265274
