iter	Passed	Remaining
413	3494	4946
414	3503	4938
415	3511	4929
416	3519	4920
417	3528	4912
418	3537	4904
419	3546	4897
420	3555	4889
421	3563	4881
422	3571	4872
423	3580	4864
424	3589	4855
425	3597	4847
426	3606	4839
427	3615	4831
428	3623	4823
429	3632	4815
430	3641	4807
431	3649	4798
432	3657	4789
433	3666	4781
434	3675	4774
435	3685	4767
436	3692	4757
437	3701	4748
438	3709	4740
439	3717	4731
440	3726	4723
441	3734	4715
442	3743	4706
443	3752	4699
444	3761	4691
445	3770	4683
446	3779	4675
447	3789	4669
448	3798	4661
449	3807	4654
450	3816	4645
451	3824	4637
452	3833	4628
453	3839	4617
454	3847	4608
455	3856	4601
456	3866	4593
457	3875	4585
458	3883	4577
459	3892	4569
460	3901	4562
461	3910	4554
462	3919	4545
463	3928	4537
464	3936	4529
465	3946	4522
466	3954	4513
467	3963	4506
468	3972	4497
469	3980	4488
470	3989	4480
471	3997	4471
472	4006	4463
473	4015	4455
474	4023	4447
475	4032	4439
476	4040	4430
477	4049	4422
478	4058	4414
479	4066	4405
480	4075	4397
481	4084	4389
482	4093	4382
483	4102	4374
484	4111	4366
485	4120	4357
486	4129	4349
487	4138	4341
488	4146	4333
489	4155	4325
490	4163	4316
491	4172	4308
492	4180	4299
493	4189	4291
494	4197	4282
495	4206	4274
496	4215	4265
497	4223	4257
498	4232	4249
499	4241	4241
500	4250	4233
501	4259	4225
502	4269	4218
503	4279	4211
504	4287	4202
505	4295	4193
506	4304	4186
507	4314	4178
508	4323	4170
509	4332	4162
510	4340	4153
511	4349	4145
512	4357	4136
513	4366	4128
514	4375	4120
515	4384	4112
516	4393	4104
517	4402	4096
518	4411	4088
519	4419	4079
520	4430	4072
521	4439	4065
522	4448	4056
523	4455	4047
524	4465	4040
525	4474	4031
526	4483	4023
527	4492	4015
528	4501	4008
529	4510	4000
530	4519	3991
531	4528	3983
532	4537	3975
533	4546	3967
534	4555	3959
535	4564	3951
536	4573	3943
537	4582	3935
538	4591	3926
539	4599	3918
540	4608	3910
541	4617	3901
542	4625	3893
543	4634	3884
544	4643	3876
545	4651	3867
546	4660	3859
547	4669	3851
548	4678	3843
549	4685	3833
550	4694	3825
551	4702	3816
552	4711	3808
553	4720	3799
554	4728	3791
555	4737	3783
556	4746	3775
557	4754	3766
558	4762	3757
559	4770	3748
560	4779	3740
561	4788	3731
562	4797	3723
563	4805	3715
564	4814	3706
565	4822	3698
566	4832	3690
567	4839	3680
568	4848	3672
569	4857	3664
570	4866	3656
571	4875	3647
572	4883	3639
573	4892	3630
574	4901	3622
575	4909	3614
576	4918	3605
577	4927	3597
578	4936	3589
