iter	Logloss
0	0.6340125077
1	0.5904615409
2	0.5590001892
3	0.5352524594
4	0.5167105052
5	0.4970234989
6	0.4824032158
7	0.4695788015
8	0.4595488642
9	0.4501739723
10	0.4434764418
11	0.4389290792
12	0.4342627897
13	0.4303774333
14	0.4269361061
15	0.4245652871
16	0.4209322818
17	0.4195627836
18	0.4167338397
19	0.4151007915
20	0.4130303205
21	0.4118018055
22	0.4114829009
23	0.4104090806
24	0.4090174022
25	0.4081481833
26	0.4073451438
27	0.4071091324
28	0.406401276
29	0.4054877808
30	0.4044156487
31	0.4037151168
32	0.4032203795
33	0.4025582073
34	0.4024764456
35	0.4022284438
36	0.4018070408
37	0.4015045597
38	0.4012445235
39	0.4008593022
40	0.4006950693
41	0.4003137945
42	0.3998499945
43	0.3997149021
44	0.3995533897
45	0.3991140179
46	0.3988810475
47	0.3986671415
48	0.3983524549
49	0.3979652558
50	0.3977816943
51	0.3975557009
52	0.3975555295
53	0.3975524029
54	0.3973686951
55	0.3973159434
56	0.3968492319
57	0.3968089253
58	0.3964581078
59	0.3964501485
60	0.3962301868
61	0.3961619632
62	0.3959954029
63	0.3955880314
64	0.3955173173
65	0.3948879005
66	0.3948513016
67	0.3948512734
68	0.3947567421
69	0.3945102453
70	0.3940978088
71	0.3939438612
72	0.3939438516
73	0.3937990129
74	0.3935297207
75	0.3927965559
76	0.3927894519
77	0.3926260323
78	0.3926203812
79	0.3921589083
80	0.3917098143
81	0.3915308547
82	0.3911556269
83	0.3908682849
84	0.3904922904
85	0.3903336605
86	0.3903170896
87	0.3903121893
88	0.38993002
89	0.3899285166
90	0.3893024381
91	0.3892608387
92	0.3890792113
93	0.3888105051
94	0.3887088702
95	0.3884746224
96	0.3883925769
97	0.3883271677
98	0.3879177773
99	0.3874061005
100	0.3873504615
101	0.3871459635
102	0.3868547738
103	0.3868505805
104	0.3866714218
105	0.3866203678
106	0.3863727648
107	0.3857089238
108	0.3856845443
109	0.3849495774
110	0.3847498513
111	0.384600067
112	0.3845186775
113	0.3843795002
114	0.3840802729
115	0.3839028797
116	0.383477229
117	0.3828200273
118	0.3828089451
119	0.3826603259
120	0.3824926891
121	0.3824484257
122	0.3823407494
123	0.3823075543
124	0.3820963719
125	0.3820869641
126	0.3819189389
127	0.3817891085
128	0.3817732614
129	0.3817472693
130	0.381480466
131	0.3811215445
132	0.3810413308
133	0.3810035492
134	0.3809857645
135	0.3805656701
136	0.3804014511
137	0.3803679283
138	0.3803604969
139	0.38027208
140	0.3801487069
141	0.3800089965
142	0.3799774014
143	0.3799229165
144	0.3795708226
145	0.3794358135
146	0.37906107
147	0.3790062464
148	0.3787576565
149	0.3784119038
150	0.378122448
151	0.3779451286
152	0.3776337432
153	0.3775033455
154	0.3771774163
155	0.3769391758
156	0.3767463059
157	0.3766452692
158	0.376399118
159	0.3763985081
160	0.3760647917
161	0.3759826659
162	0.3758419986
163	0.37578974
164	0.3757784627
165	0.3757197454
166	0.3755212424
167	0.3751398436
168	0.3750062482
169	0.3748148852
170	0.3746567142
171	0.3746083162
172	0.3741983192
173	0.3741164137
174	0.3740615951
175	0.3737766661
176	0.3737534686
177	0.3732287679
178	0.3728558262
179	0.3727431085
180	0.3725986815
181	0.3722926737
182	0.3721762329
183	0.3716026644
184	0.3712224895
185	0.3710984441
186	0.3709740218
187	0.3709237205
188	0.370629448
189	0.3701277592
190	0.3700806035
191	0.3696685448
192	0.3694635938
193	0.3693674885
194	0.3692667018
195	0.369096547
196	0.3690910498
197	0.3689033985
198	0.3687956865
199	0.3687124683
200	0.3686822543
201	0.3685506577
202	0.368347664
203	0.3679266921
204	0.3675027024
205	0.3674523732
206	0.3672918342
207	0.3672852603
208	0.3670210104
209	0.3666141422
210	0.3665096408
211	0.3664641014
212	0.3662331806
213	0.366178192
214	0.3659207962
215	0.36582468
216	0.365591628
217	0.3655637697
218	0.3654699474
219	0.3653614391
220	0.3652004698
221	0.3651555074
222	0.365032918
223	0.3649898262
224	0.3649294882
225	0.3647984257
226	0.3647693675
227	0.3645775196
228	0.364277062
229	0.3640129935
230	0.3639187494
231	0.3636359665
232	0.3631487716
233	0.3626945575
234	0.3623059696
235	0.362198193
236	0.3617844099
237	0.3617362461
238	0.3616343469
239	0.3611665722
240	0.3610996209
241	0.3610711842
242	0.3603840952
243	0.3603064432
244	0.3600998313
245	0.3597278638
246	0.3597266802
247	0.3595397711
248	0.3591614711
249	0.3589765016
250	0.3588087902
251	0.3584452146
252	0.3582817058
253	0.3582329654
254	0.3581983074
255	0.357933396
256	0.3578612001
257	0.3576814765
258	0.357645908
259	0.3574709179
260	0.3574524396
261	0.3571652312
262	0.3570457506
263	0.3568326167
264	0.3567580015
265	0.3564074114
266	0.3562116577
267	0.356031032
268	0.3558975961
269	0.3555115516
270	0.3554763333
271	0.3554460208
272	0.3551431723
273	0.3547477379
274	0.3546671828
275	0.354422999
276	0.3543970616
277	0.3542342382
278	0.3540262301
279	0.3539039823
280	0.3538573561
281	0.3538251331
282	0.3535329858
283	0.3532423772
284	0.3530055287
285	0.3527705438
286	0.3524555867
287	0.3522855495
288	0.3516353896
289	0.3515761453
290	0.3513960371
291	0.3510745394
292	0.3510498857
293	0.3509297189
294	0.3507977017
295	0.3507483794
296	0.3506753888
297	0.3506732992
298	0.3505803812
299	0.3504553215
300	0.3499923839
301	0.349479846
302	0.3493665313
303	0.3490702214
304	0.3488277196
305	0.348549059
306	0.3482763362
307	0.3477934142
308	0.3477636581
309	0.3474915153
310	0.347176857
311	0.3471659928
312	0.3471647984
313	0.346866565
314	0.3465295991
315	0.3462094114
316	0.3460898937
317	0.3458116042
318	0.345800827
319	0.3457786327
320	0.3457531714
321	0.3454689263
322	0.3453467566
323	0.345335799
324	0.3452200829
325	0.3449305592
326	0.3447729306
327	0.3446693807
328	0.3445921123
329	0.3444604999
330	0.3444244736
331	0.3443516028
332	0.3441063419
333	0.3439279654
334	0.3439201524
335	0.3438803721
336	0.3438092023
337	0.3435540028
338	0.3432985901
339	0.3429800913
340	0.3427896151
341	0.342520682
342	0.3423893852
343	0.3420600287
344	0.3418620752
345	0.341818009
346	0.3416315256
347	0.3414083457
348	0.341178624
349	0.3409819808
350	0.3409790205
351	0.3406700213
352	0.3403554961
353	0.3402400224
354	0.3400762415
